pr_number,title,author,merged_at,commits,comments,copilot_comments,copilot_commits
159,Add ARM FP32 and FP64 GEMM kernels,xadupre,2026-08-14T15:22:54Z,2,1,0,0
158,Complete the CPU thread runtime,xadupre,2026-08-14T14:33:50Z,2,1,0,0
157,Tune x86 GEMM microkernels,xadupre,2026-08-14T14:02:02Z,3,1,0,0
156,Add typed GEMM epilogues,xadupre,2026-08-14T13:13:11Z,2,1,0,0
155,Implement task-aware GEMM scheduling,xadupre,2026-08-14T11:57:33Z,5,3,1,1
154,Extend gemm benchmark grid to 4096 and built-in curve to 512,Copilot,2026-08-14T10:10:15Z,2,1,0,2
151,Add a macOS build,Copilot,2026-08-14T09:48:15Z,3,1,0,3
152,Add unary and binary operator roadmaps,xadupre,2026-08-14T09:45:32Z,1,1,0,0
149,Specialize GEMM unit-scale epilogues,xadupre,2026-08-14T09:34:35Z,8,1,0,0
148,Update development toolchain versions,xadupre,2026-08-14T08:47:34Z,1,1,0,0
147,Select GEMM MR by SIMD ISA,xadupre,2026-08-14T08:47:21Z,3,3,1,1
146,Generate AVX-512 GEMM MR variants,xadupre,2026-08-14T08:17:16Z,2,1,0,0
144,better plots,xadupre,2026-08-14T08:15:38Z,5,7,3,4
145,Generate AVX2 FMA GEMM MR variants,xadupre,2026-08-14T07:24:30Z,2,1,0,0
143,Unroll AVX2 FMA GEMM K loops,xadupre,2026-08-14T07:04:43Z,2,1,0,0
142,Unroll AVX-512 GEMM K loops,xadupre,2026-08-14T06:45:01Z,2,1,0,0
141,Add dedicated AVX2 FMA GEMM kernels,xadupre,2026-08-14T06:19:49Z,2,1,0,0
140,gemm next,xadupre,2026-08-14T05:42:29Z,4,5,2,2
139,gemm cache,xadupre,2026-08-13T20:07:05Z,2,3,1,1
138,better gemm,xadupre,2026-08-13T19:21:19Z,2,3,1,1
137,plan,xadupre,2026-08-13T14:08:21Z,6,3,1,3
136,gemm 3,xadupre,2026-08-13T13:22:05Z,2,3,1,1
135,gemm 2,xadupre,2026-08-13T11:40:34Z,2,1,0,0
134,improve gemm,xadupre,2026-08-13T10:39:17Z,1,1,0,0
133,add avx support,xadupre,2026-08-13T09:28:03Z,1,1,0,0
131,Split the docs gallery into benchmarks and examples,Copilot,2026-08-13T09:20:20Z,5,5,2,5
127,Assert short-input SIMD Abs benchmark gain,Copilot,2026-08-13T08:43:05Z,6,7,3,5
132,fix benchmark,xadupre,2026-08-13T08:16:33Z,2,1,0,0
129,Remove third Abs benchmark plot and second Gemm benchmark plot,Copilot,2026-08-13T07:47:03Z,2,1,0,2
125,refactor backend,xadupre,2026-08-12T13:30:32Z,1,1,0,0
124,Enable verbose build output for onnx-light and onnx-light-cpu in docs.yml,Copilot,2026-08-12T13:04:40Z,3,3,1,3
119,Verify onnx-light-cpu Gemm kernel is actually dispatched in gemm benchmarks,Copilot,2026-08-12T13:00:51Z,7,7,3,7
117,Add evaluator backend tests covering every implemented dtype for Abs/Exp/Log/Gemm,Copilot,2026-08-12T10:09:33Z,15,21,10,15
122,improve kernel abs,xadupre,2026-08-12T08:54:36Z,1,1,0,0
121,Switch speed-up benchmark panels to logarithmic y-scale,Copilot,2026-08-12T08:54:02Z,2,1,0,2
115,Use linear scale for speed-up in benchmark plots,Copilot,2026-08-11T10:15:07Z,3,3,1,3
111,docs: stop embedding README.md in index.rst and move TOC to the end,Copilot,2026-08-11T09:50:52Z,2,1,0,2
113,Rotate X axis on all benchmark plots,Copilot,2026-08-11T09:49:43Z,2,1,0,2
109,performance,xadupre,2026-08-11T08:44:49Z,2,3,1,1
106,Document session-only kernel registration,Copilot,2026-08-11T08:12:11Z,3,3,1,3
104,Reorganize documentation like onnx-light,Copilot,2026-08-11T07:41:27Z,5,3,1,3
102,Switch to onnx-light 0.1.16,Copilot,2026-08-10T21:23:02Z,2,1,0,2
100,next steps,xadupre,2026-08-10T09:57:53Z,3,1,0,0
99,Sync C++ API reference with current kernel headers,Copilot,2026-08-10T07:35:55Z,5,3,1,5
98,Sync Python API reference with current kernel bindings,Copilot,2026-08-10T06:27:27Z,3,1,0,3
95,Documentation restructuring and benchmark kernel-usage asserts,Copilot,2026-08-09T13:13:02Z,2,1,0,2
91,[WIP] Fix issue registering new kernels in onnx-light,Copilot,2026-08-09T08:04:15Z,4,5,2,4
89,add float16,xadupre,2026-08-07T17:54:23Z,3,3,1,1
88,Keep GoogleTest artifacts out of the inplace install with --cpp-tests,Copilot,2026-08-07T16:20:34Z,3,1,0,3
81,Fix doc build: install nanobind before building onnx-light,Copilot,2026-08-07T14:24:42Z,14,15,5,7
86,fix local setup,xadupre,2026-08-07T08:17:45Z,1,1,0,0
85,efficient gemm,xadupre,2026-08-07T07:45:48Z,2,1,0,0
84,fix local build,xadupre,2026-08-07T06:38:42Z,1,1,0,0
83,Add option to build the onnx-light integration from local onnx-light sources,Copilot,2026-08-06T14:41:49Z,2,1,0,2
79,remove try catch,xadupre,2026-08-06T14:23:26Z,5,9,4,4
78,Run C++ tests via setup.py --cpp-tests,Copilot,2026-08-06T13:26:24Z,4,5,2,4
76,Save graphs as images in gallery examples,Copilot,2026-08-06T12:52:52Z,2,1,0,2
74,remove pinned version of onnx-light,xadupre,2026-08-05T06:06:46Z,2,3,1,1
73,Fix docs dependencies: drop onnx from the docs extra,Copilot,2026-08-04T16:21:36Z,2,1,0,2
